//Index   Name                                 Damage   MP      BP      Range   Radio   Delay   Attr   Type   Flag   Effect   RelSkill   ReqLevel   ReqStrength   ReqDexterity   ReqVitality   ReqEnergy   ReqLeadership   ReqKillCount   ReqGuildStatus   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC      KM      LM
578       "Add Item Durability Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
579       "Add Defense Success Rate PvP"       0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
580       "Add Max SD"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
581       "Add MP Recovery Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
582       "Add Poison Resistance"              0        0       0       0       0       0       6      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
583       "Add Item Durability Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
584       "Add SD Recovery Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
585       "Add HP Recovery Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
586       "Add Lightning Resistance"           0        0       0       0       0       0       6      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
587       "Add Defense"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
588       "Add BP Recovery Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
589       "Add Ice Resistance"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
590       "Add Item Durability Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
591       "Add Defense Success Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
593       "Add Armor Set Bonus"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
594       "Add Reflect Damage"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
595       "Add Energy"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
596       "Add Vitality"                       0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
597       "Add Agility"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
598       "Add Strength"                       0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
599       "Add Attack Success Rate"            0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
600       "Add Max HP"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
601       "Add Max MP"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
602       "Add Max BP"                         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
603       "Add Attack Success Rate PvP"        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
604       "Add MP Consumption Rate"            0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
605       "Add Hunt SD"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
606       "Add Hunt HP"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
607       "Add Min Physi Damage"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
608       "Add Hunt MP"                        0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
609       "Add Max Physi Damage"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
610       "Add Critical Damage Rate"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
611       "Add Restore MP Rate"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
612       "Add Restore HP Rate"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
613       "Add Excellent Damage Rate"          0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
614       "Add Double Damage Rate"             0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
615       "Add Ignore Defense Rate"            0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
616       "Add Restore SD Rate"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
617       "Add Triple Damage Rate"             0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
618       "Order of Protection"                0        30      0       0       0       60000   0      0      5      0        0          0          0             0              0             0           0               0              0                1       1       1       1       1       1       1       1       0       1       0       1       1
619       "Order of Restraint"                 0        30      0       0       0       60000   0      0      5      0        0          0          0             0              0             0           0               0              0                1       1       1       1       1       1       1       1       0       1       0       1       1
620       "Order of Tracking"                  0        30      0       0       0       120000  0      0      5      0        0          0          0             0              0             0           0               0              0                1       1       1       1       1       1       1       1       0       1       0       1       1
621       "Order of Weaken"                    0        30      0       0       0       60000   0      0      5      0        0          0          0             0              0             0           0               0              0                1       1       1       1       1       1       1       1       0       1       0       1       1
623       "Add Block Part Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
624       "Add Parry Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       3       0       0
625       "Add Block Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
626       "Add Impenetrable Defense"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       3       0       0
627       "Add Resist Stun Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       0       0       0
628       "Add Recover HP"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       3       0       0
629       "Add Recover SD"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       0       3       0       0
630       "Add Melee Damage"                   0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       3       0       0       0       0       0       0       0       3       0       0       0
631       "Add Rush"                           0        200     200     5       0       1000    6      0      4      0        631        0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       0       0       3       0       0       0
634       "Add Block Part Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       3       3
635       "Add Parry Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       3       3
636       "Add Block Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       3       3
637       "Add Impenetrable Defense"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       3       3
638       "Add Resist Stun Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       3       3
639       "Add Recover HP"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       3       3
640       "Add Recover SD"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       3       3
641       "Add Range Damage"                   0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       3       3
642       "Add Illusion"                       0        1000    300     1       0       120000  0      *      4      0        642        0          0             0              0             0           0               0              0                3       0       0       0       0       0       0       0       0       0       0       3       0
643       "Add Block Part Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
644       "Add Parry Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
645       "Add Block Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
646       "Add Impenetrable Defense"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
647       "Add Resist Stun Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
648       "Add Recover HP"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
649       "Add Recover SD"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
650       "Add Range Damage"                   0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
651       "Add Shadow Step"                    0        150     100     5       0       3000    0      *      4      0        651        0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
652       "Add Evasion"                        0        200     200     0       0       60000   0      *      4      214      652        0          0             0              0             0           0               0              0                0       0       3       0       0       0       0       0       0       0       0       0       0
653       "Add Block Part Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       3       0       0       0       0       0       0       0
654       "Add Parry Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       3       0       0       0       0       0       0       0
655       "Add Block Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       3       0       0       0       0       0       0       0
656       "Add Impenetrable Defense"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       3       0       0       0       0       0       0       0
657       "Add Resist Stun Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       3       0       0       0       0       0       0       0
658       "Add Recover HP"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       3       0       0       0       0       0       0       0
659       "Add Recover SD"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       3       0       0       0       0       0       0       0
660       "Add Range Damage"                   0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       3       0       0       0       0       0       0       0
663       "Add Block Part Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       3       0       0       0       0       0       0       0       0       0
664       "Add Parry Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       3       0       0       0       0       0       0       0       0       0
665       "Add Block Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       3       0       0       0       0       0       0       0       0       0
666       "Add Impenetrable Defense"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       3       0       0       0       0       0       0       0       0       0
667       "Add Resist Stun Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       3       0       0       0       0       0       0       0       0       0
668       "Add Recover HP"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       3       0       0       0       0       0       0       0       0       0
669       "Add Recover SD"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       3       0       0       0       0       0       0       0       0       0
670       "Add Block Part Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       3       0       0       0       0       0       0       0       0
671       "Add Parry Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       3       0       0       0       0       0       0       0       0
672       "Add Block Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       3       0       0       0       0       0       0       0       0
673       "Add Impenetrable Defense"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       3       0       0       0       0       0       0       0       0
674       "Add Resist Stun Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       3       0       0       0       0       0       0       0       0
675       "Add Recover HP"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       3       0       0       0       0       0       0       0       0
676       "Add Recover SD"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       3       0       0       0       0       0       0       0       0
677       "Add Block Part Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
678       "Add Parry Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
679       "Add Block Full Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
680       "Add Impenetrable Defense"           0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
681       "Add Resist Stun Rate"               0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
682       "Add Recover HP"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
683       "Add Recover SD"                     0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       3       0       0       0       0       0       0
685       "Add GL Wing Defense"                0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
686       "Add GL Wing Damage"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
687       "Add Spin Step Improved"             100      15      0       2       2       500     6      0      4      0        271        83         0             150            0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
688       "Add Harsh Strike Improved"          100      15      0       3       0       500     6      0      4      0        276        74         150           0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
689       "Add Weapon Damage"                  0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
690       "Add Spin Step Enhanced"             100      20      0       2       2       500     6      0      4      0        271        83         0             150            0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
691       "Add Harsh Strike Enhanced"          100      20      0       3       0       500     6      0      4      0        276        74         150           0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
692       "Add Magic Pin Improved"             80       30      20      2       0       500     6      0      4      0        274        30         300           300            0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
693       "Add Obsidian Improved"              0        50      50      0       5       0       0      *      4      220      273        74         0             0              0             200         0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
694       "Add Magic Pin Enhanced"             80       35      20      2       0       500     6      0      4      0        274        30         300           300            0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
695       "Add Magic Pin Mastered"             80       40      22      3       0       500     6      0      4      0        274        30         300           300            0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
696       "Add Breche Improved"                400      45      25      0       3       500     6      0      4      83       279        300        0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
697       "Add Breche Enhanced"                400      45      25      0       3       500     6      0      4      83       279        300        0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
698       "Add Breche Mastered"                400      50      30      0       4       500     6      0      4      83       279        300        0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
699       "Add Shining Peak Improved"          70       70      25      0       4       0       6      0      4      0        277        220        0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
700       "Add Burst"                          0        200     50      0       0       60000   0      *      4      219      700        0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
701       "Add Burst Improved"                 0        210     52      0       0       60000   0      *      4      226      700        0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
702       "Add Lance Damage"                   0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
703       "Add Circle Shield Improved"         0        100     50      0       0       0       0      *      4      221      272        220        0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
704       "Add Shield Defense"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
705       "Add Lance Mastery"                  0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
706       "Add Circle Shield Enhanced"         0        100     50      0       0       0       0      *      4      222      272        220        0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
707       "Add Shield Mastery"                 0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
708       "Add Wrath Improved"                 0        110     50      0       0       60000   0      *      4      223      278        66         0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
709       "Add Wrath Enhanced"                 0        130     60      0       0       60000   0      *      4      224      278        66         0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
710       "Add Wrath Mastered"                 0        150     80      0       0       60000   0      *      4      225      278        66         0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
711       "Add GL Damage Multiplier Rate"      0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
712       "Add GL Damage Multiplier Rate"      0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
713       "Add Block Part Damage Rate"         0        0       0       0       0       0       0      *      3      0        0          0          0             0              0             0           0               0              0                0       0       0       0       0       0       0       3       0       0       0       0       0
